
**** 12/13/19 17:39:21 ******* PSpice Lite (March 2016) ******* ID# 10813 ****

 * Matlab created *.cir-file *


 ****     CIRCUIT DESCRIPTION


******************************************************************************



.lib C:\Cadence\SPB_17.2\tools\pspice\library\eval.lib
VIN        1   0   AC 1V
R1 1 2 1.5310955542480119e-06
C1 1 2 0.08170613604718352
R2 2 3 1.6132026470174018e-05
C2 2 3 0.13790119903731643
R3 3 4 0.0001617808927558726
C3 3 4 0.24452864461254412
R4 4 5 0.0016180760852820904
C4 4 5 0.4347684581624912
R5 5 6 0.01618236290835089
C5 5 6 0.7730632563682562
R6 6 7 0.16208316335844217
C6 6 7 1.3725212088926397
R7 7 8 1.6684677425936003
C7 7 8 2.3710414903380594
R8 8 9 35.97878894226995
C8 8 9 1.9552866160016769
R9 9 0 3.7827320109503437e-07
.AC DEC 100 1 1000
.PRINT AC VM(1) VP(1) IM(VIN) IP(VIN)
.END

**** 12/13/19 17:39:21 ******* PSpice Lite (March 2016) ******* ID# 10813 ****

 * Matlab created *.cir-file *


 ****     SMALL SIGNAL BIAS SOLUTION       TEMPERATURE =   27.000 DEG C


******************************************************************************



 NODE   VOLTAGE     NODE   VOLTAGE     NODE   VOLTAGE     NODE   VOLTAGE


(    1)    0.0000  (    2)    0.0000  (    3)    0.0000  (    4)    0.0000      

(    5)    0.0000  (    6)    0.0000  (    7)    0.0000  (    8)    0.0000      

(    9)    0.0000  




    VOLTAGE SOURCE CURRENTS
    NAME         CURRENT

    VIN          0.000E+00

    TOTAL POWER DISSIPATION   0.00E+00  WATTS


**** 12/13/19 17:39:21 ******* PSpice Lite (March 2016) ******* ID# 10813 ****

 * Matlab created *.cir-file *


 ****     AC ANALYSIS                      TEMPERATURE =   27.000 DEG C


******************************************************************************



  FREQ        VM(1)       VP(1)       IM(VIN)     IP(VIN)     
   7.244E+00   1.000E+00   0.000E+00   2.169E+01  -1.098E+02
   7.413E+00   1.000E+00   0.000E+00   2.206E+01  -1.099E+02
   7.586E+00   1.000E+00   0.000E+00   2.243E+01  -1.100E+02
   7.762E+00   1.000E+00   0.000E+00   2.281E+01  -1.100E+02
   7.943E+00   1.000E+00   0.000E+00   2.319E+01  -1.101E+02
   8.128E+00   1.000E+00   0.000E+00   2.358E+01  -1.101E+02
   8.318E+00   1.000E+00   0.000E+00   2.397E+01  -1.101E+02
   8.511E+00   1.000E+00   0.000E+00   2.437E+01  -1.102E+02
   8.710E+00   1.000E+00   0.000E+00   2.477E+01  -1.102E+02
   8.913E+00   1.000E+00   0.000E+00   2.518E+01  -1.102E+02
   9.120E+00   1.000E+00   0.000E+00   2.560E+01  -1.102E+02
   9.333E+00   1.000E+00   0.000E+00   2.602E+01  -1.102E+02
   9.550E+00   1.000E+00   0.000E+00   2.645E+01  -1.102E+02
   9.772E+00   1.000E+00   0.000E+00   2.689E+01  -1.102E+02
   1.000E+01   1.000E+00   0.000E+00   2.734E+01  -1.102E+02
   1.023E+01   1.000E+00   0.000E+00   2.779E+01  -1.102E+02
   1.047E+01   1.000E+00   0.000E+00   2.825E+01  -1.102E+02
   1.072E+01   1.000E+00   0.000E+00   2.872E+01  -1.102E+02
   1.096E+01   1.000E+00   0.000E+00   2.920E+01  -1.101E+02
   1.122E+01   1.000E+00   0.000E+00   2.968E+01  -1.101E+02
   1.148E+01   1.000E+00   0.000E+00   3.018E+01  -1.101E+02
   1.175E+01   1.000E+00   0.000E+00   3.068E+01  -1.100E+02
   1.202E+01   1.000E+00   0.000E+00   3.120E+01  -1.099E+02
   1.230E+01   1.000E+00   0.000E+00   3.173E+01  -1.099E+02
   1.259E+01   1.000E+00   0.000E+00   3.226E+01  -1.098E+02
   1.288E+01   1.000E+00   0.000E+00   3.281E+01  -1.097E+02
   1.318E+01   1.000E+00   0.000E+00   3.337E+01  -1.097E+02
   1.349E+01   1.000E+00   0.000E+00   3.394E+01  -1.096E+02
   1.380E+01   1.000E+00   0.000E+00   3.453E+01  -1.095E+02
   1.413E+01   1.000E+00   0.000E+00   3.512E+01  -1.094E+02
   1.445E+01   1.000E+00   0.000E+00   3.573E+01  -1.093E+02
   1.479E+01   1.000E+00   0.000E+00   3.636E+01  -1.092E+02
   1.514E+01   1.000E+00   0.000E+00   3.700E+01  -1.091E+02
   1.549E+01   1.000E+00   0.000E+00   3.765E+01  -1.090E+02
   1.585E+01   1.000E+00   0.000E+00   3.832E+01  -1.089E+02
   1.622E+01   1.000E+00   0.000E+00   3.900E+01  -1.088E+02
   1.660E+01   1.000E+00   0.000E+00   3.970E+01  -1.087E+02
   1.698E+01   1.000E+00   0.000E+00   4.041E+01  -1.086E+02
   1.738E+01   1.000E+00   0.000E+00   4.115E+01  -1.085E+02
   1.778E+01   1.000E+00   0.000E+00   4.190E+01  -1.084E+02
   1.820E+01   1.000E+00   0.000E+00   4.266E+01  -1.083E+02
   1.862E+01   1.000E+00   0.000E+00   4.345E+01  -1.082E+02
   1.905E+01   1.000E+00   0.000E+00   4.426E+01  -1.081E+02
   1.950E+01   1.000E+00   0.000E+00   4.508E+01  -1.080E+02
   1.995E+01   1.000E+00   0.000E+00   4.592E+01  -1.079E+02
   2.042E+01   1.000E+00   0.000E+00   4.679E+01  -1.078E+02
   2.089E+01   1.000E+00   0.000E+00   4.767E+01  -1.076E+02
   2.138E+01   1.000E+00   0.000E+00   4.858E+01  -1.075E+02
   2.188E+01   1.000E+00   0.000E+00   4.951E+01  -1.074E+02
   2.239E+01   1.000E+00   0.000E+00   5.046E+01  -1.073E+02
   2.291E+01   1.000E+00   0.000E+00   5.143E+01  -1.072E+02
   2.344E+01   1.000E+00   0.000E+00   5.243E+01  -1.071E+02
   2.399E+01   1.000E+00   0.000E+00   5.344E+01  -1.070E+02
   2.455E+01   1.000E+00   0.000E+00   5.449E+01  -1.069E+02
   2.512E+01   1.000E+00   0.000E+00   5.556E+01  -1.069E+02
   2.570E+01   1.000E+00   0.000E+00   5.665E+01  -1.068E+02
   2.630E+01   1.000E+00   0.000E+00   5.777E+01  -1.067E+02
   2.692E+01   1.000E+00   0.000E+00   5.891E+01  -1.066E+02
   2.754E+01   1.000E+00   0.000E+00   6.009E+01  -1.065E+02
   2.818E+01   1.000E+00   0.000E+00   6.129E+01  -1.064E+02
   2.884E+01   1.000E+00   0.000E+00   6.251E+01  -1.064E+02
   2.951E+01   1.000E+00   0.000E+00   6.377E+01  -1.063E+02
   3.020E+01   1.000E+00   0.000E+00   6.505E+01  -1.063E+02
   3.090E+01   1.000E+00   0.000E+00   6.636E+01  -1.062E+02
   3.162E+01   1.000E+00   0.000E+00   6.770E+01  -1.061E+02
   3.236E+01   1.000E+00   0.000E+00   6.907E+01  -1.061E+02
   3.311E+01   1.000E+00   0.000E+00   7.047E+01  -1.061E+02
   3.388E+01   1.000E+00   0.000E+00   7.191E+01  -1.060E+02
   3.467E+01   1.000E+00   0.000E+00   7.337E+01  -1.060E+02
   3.548E+01   1.000E+00   0.000E+00   7.486E+01  -1.060E+02
   3.631E+01   1.000E+00   0.000E+00   7.639E+01  -1.059E+02
   3.715E+01   1.000E+00   0.000E+00   7.795E+01  -1.059E+02
   3.802E+01   1.000E+00   0.000E+00   7.954E+01  -1.059E+02
   3.890E+01   1.000E+00   0.000E+00   8.117E+01  -1.059E+02
   3.981E+01   1.000E+00   0.000E+00   8.283E+01  -1.059E+02
   4.074E+01   1.000E+00   0.000E+00   8.452E+01  -1.059E+02
   4.169E+01   1.000E+00   0.000E+00   8.625E+01  -1.059E+02
   4.266E+01   1.000E+00   0.000E+00   8.801E+01  -1.059E+02
   4.365E+01   1.000E+00   0.000E+00   8.981E+01  -1.059E+02
   4.467E+01   1.000E+00   0.000E+00   9.165E+01  -1.059E+02
   4.571E+01   1.000E+00   0.000E+00   9.351E+01  -1.060E+02
   4.677E+01   1.000E+00   0.000E+00   9.542E+01  -1.060E+02
   4.786E+01   1.000E+00   0.000E+00   9.736E+01  -1.060E+02
   4.898E+01   1.000E+00   0.000E+00   9.934E+01  -1.061E+02
   5.012E+01   1.000E+00   0.000E+00   1.014E+02  -1.061E+02
   5.129E+01   1.000E+00   0.000E+00   1.034E+02  -1.061E+02
   5.248E+01   1.000E+00   0.000E+00   1.055E+02  -1.062E+02
   5.370E+01   1.000E+00   0.000E+00   1.076E+02  -1.063E+02
   5.495E+01   1.000E+00   0.000E+00   1.098E+02  -1.063E+02
   5.623E+01   1.000E+00   0.000E+00   1.120E+02  -1.064E+02
   5.754E+01   1.000E+00   0.000E+00   1.142E+02  -1.065E+02
   5.888E+01   1.000E+00   0.000E+00   1.165E+02  -1.065E+02
   6.026E+01   1.000E+00   0.000E+00   1.188E+02  -1.066E+02
   6.166E+01   1.000E+00   0.000E+00   1.212E+02  -1.067E+02
   6.310E+01   1.000E+00   0.000E+00   1.236E+02  -1.068E+02
   6.457E+01   1.000E+00   0.000E+00   1.260E+02  -1.069E+02
   6.607E+01   1.000E+00   0.000E+00   1.285E+02  -1.069E+02
   6.761E+01   1.000E+00   0.000E+00   1.310E+02  -1.070E+02
   6.918E+01   1.000E+00   0.000E+00   1.335E+02  -1.071E+02
   7.079E+01   1.000E+00   0.000E+00   1.361E+02  -1.072E+02
   7.244E+01   1.000E+00   0.000E+00   1.387E+02  -1.073E+02
   7.413E+01   1.000E+00   0.000E+00   1.414E+02  -1.074E+02
   7.586E+01   1.000E+00   0.000E+00   1.441E+02  -1.075E+02
   7.762E+01   1.000E+00   0.000E+00   1.468E+02  -1.077E+02
   7.943E+01   1.000E+00   0.000E+00   1.496E+02  -1.078E+02
   8.128E+01   1.000E+00   0.000E+00   1.524E+02  -1.079E+02
   8.318E+01   1.000E+00   0.000E+00   1.553E+02  -1.080E+02
   8.511E+01   1.000E+00   0.000E+00   1.582E+02  -1.081E+02
   8.710E+01   1.000E+00   0.000E+00   1.611E+02  -1.082E+02
   8.913E+01   1.000E+00   0.000E+00   1.641E+02  -1.083E+02
   9.120E+01   1.000E+00   0.000E+00   1.671E+02  -1.084E+02
   9.333E+01   1.000E+00   0.000E+00   1.701E+02  -1.085E+02
   9.550E+01   1.000E+00   0.000E+00   1.732E+02  -1.086E+02
   9.772E+01   1.000E+00   0.000E+00   1.763E+02  -1.087E+02
   1.000E+02   1.000E+00   0.000E+00   1.795E+02  -1.088E+02
   1.023E+02   1.000E+00   0.000E+00   1.827E+02  -1.089E+02
   1.047E+02   1.000E+00   0.000E+00   1.859E+02  -1.090E+02
   1.072E+02   1.000E+00   0.000E+00   1.892E+02  -1.091E+02
   1.096E+02   1.000E+00   0.000E+00   1.925E+02  -1.092E+02
   1.122E+02   1.000E+00   0.000E+00   1.959E+02  -1.093E+02
   1.148E+02   1.000E+00   0.000E+00   1.993E+02  -1.094E+02
   1.175E+02   1.000E+00   0.000E+00   2.027E+02  -1.095E+02
   1.202E+02   1.000E+00   0.000E+00   2.062E+02  -1.096E+02
   1.230E+02   1.000E+00   0.000E+00   2.097E+02  -1.097E+02
