
**** 12/13/19 17:22:59 ******* PSpice Lite (March 2016) ******* ID# 10813 ****

 ['* Matlab created *.cir-file *']


 ****     CIRCUIT DESCRIPTION


******************************************************************************



['.lib C:\\Cadence\\SPB_17.2\\tools\\pspice\\library\\eval.lib']
['VIN        1   0   AC 1V']
['R1 1 2 0.004466465413723158']
['C1 2 0 0.1699293784879202']
['R2 1 3 0.10944709326979155']
['C2 3 0 0.10067326662828437']
['R3 1 4 0.3943572830972851']
['C3 4 0 0.09077568318875885']
['R4 1 5 0.8799657438081956']
['C4 5 0 0.09536431612559092']
['R5 1 6 1.5634964067290835']
['C5 6 0 0.11375807385553609']
['R6 1 7 2.4395272615944728']
['C6 7 0 0.15705717488835863']
['R7 1 8 3.550428299268764']
['C7 8 0 0.2695097724763911']
['R8 1 9 5.208383208325146']
['C8 9 0 0.7330618273265841']
['R9 1 9 18.181590757812568']
['.AC DEC 100 0.01 100']
['.PRINT AC VM(1) VP(1) IM(VIN) IP(VIN)']
['.END']

**** 12/13/19 17:22:59 ******* PSpice Lite (March 2016) ******* ID# 10813 ****

 ['* Matlab created *.cir-file *']


 ****     SMALL SIGNAL BIAS SOLUTION       TEMPERATURE =   27.000 DEG C


******************************************************************************



 NODE   VOLTAGE     NODE   VOLTAGE     NODE   VOLTAGE     NODE   VOLTAGE


(    1)    0.0000  (    2)    0.0000  (    3)    0.0000  (    4)    0.0000      

(    5)    0.0000  (    6)    0.0000  (    7)    0.0000  (    8)    0.0000      

(    9)    0.0000  




    VOLTAGE SOURCE CURRENTS
    NAME         CURRENT

    VIN          0.000E+00

    TOTAL POWER DISSIPATION   0.00E+00  WATTS


**** 12/13/19 17:22:59 ******* PSpice Lite (March 2016) ******* ID# 10813 ****

 ['* Matlab created *.cir-file *']


 ****     AC ANALYSIS                      TEMPERATURE =   27.000 DEG C


******************************************************************************



  FREQ        VM(1)       VP(1)       IM(VIN)     IP(VIN)     
   3.981E-02   1.000E+00   0.000E+00   3.795E-01  -1.067E+02
   4.074E-02   1.000E+00   0.000E+00   3.865E-01  -1.069E+02
   4.169E-02   1.000E+00   0.000E+00   3.937E-01  -1.071E+02
   4.266E-02   1.000E+00   0.000E+00   4.009E-01  -1.074E+02
   4.365E-02   1.000E+00   0.000E+00   4.082E-01  -1.076E+02
   4.467E-02   1.000E+00   0.000E+00   4.156E-01  -1.078E+02
   4.571E-02   1.000E+00   0.000E+00   4.231E-01  -1.081E+02
   4.677E-02   1.000E+00   0.000E+00   4.307E-01  -1.083E+02
   4.786E-02   1.000E+00   0.000E+00   4.384E-01  -1.085E+02
   4.898E-02   1.000E+00   0.000E+00   4.461E-01  -1.088E+02
   5.012E-02   1.000E+00   0.000E+00   4.540E-01  -1.090E+02
   5.129E-02   1.000E+00   0.000E+00   4.619E-01  -1.092E+02
   5.248E-02   1.000E+00   0.000E+00   4.700E-01  -1.094E+02
   5.370E-02   1.000E+00   0.000E+00   4.781E-01  -1.096E+02
   5.495E-02   1.000E+00   0.000E+00   4.864E-01  -1.099E+02
   5.623E-02   1.000E+00   0.000E+00   4.947E-01  -1.101E+02
   5.754E-02   1.000E+00   0.000E+00   5.031E-01  -1.103E+02
   5.888E-02   1.000E+00   0.000E+00   5.117E-01  -1.105E+02
   6.026E-02   1.000E+00   0.000E+00   5.203E-01  -1.107E+02
   6.166E-02   1.000E+00   0.000E+00   5.291E-01  -1.109E+02
   6.310E-02   1.000E+00   0.000E+00   5.379E-01  -1.110E+02
   6.457E-02   1.000E+00   0.000E+00   5.469E-01  -1.112E+02
   6.607E-02   1.000E+00   0.000E+00   5.560E-01  -1.114E+02
   6.761E-02   1.000E+00   0.000E+00   5.652E-01  -1.116E+02
   6.918E-02   1.000E+00   0.000E+00   5.745E-01  -1.118E+02
   7.079E-02   1.000E+00   0.000E+00   5.839E-01  -1.119E+02
   7.244E-02   1.000E+00   0.000E+00   5.935E-01  -1.121E+02
   7.413E-02   1.000E+00   0.000E+00   6.032E-01  -1.123E+02
   7.586E-02   1.000E+00   0.000E+00   6.130E-01  -1.124E+02
   7.762E-02   1.000E+00   0.000E+00   6.229E-01  -1.126E+02
   7.943E-02   1.000E+00   0.000E+00   6.330E-01  -1.127E+02
   8.128E-02   1.000E+00   0.000E+00   6.432E-01  -1.129E+02
   8.318E-02   1.000E+00   0.000E+00   6.536E-01  -1.130E+02
   8.511E-02   1.000E+00   0.000E+00   6.641E-01  -1.131E+02
   8.710E-02   1.000E+00   0.000E+00   6.748E-01  -1.133E+02
   8.913E-02   1.000E+00   0.000E+00   6.856E-01  -1.134E+02
   9.120E-02   1.000E+00   0.000E+00   6.966E-01  -1.135E+02
   9.333E-02   1.000E+00   0.000E+00   7.077E-01  -1.137E+02
   9.550E-02   1.000E+00   0.000E+00   7.190E-01  -1.138E+02
   9.772E-02   1.000E+00   0.000E+00   7.305E-01  -1.139E+02
   1.000E-01   1.000E+00   0.000E+00   7.421E-01  -1.140E+02
   1.023E-01   1.000E+00   0.000E+00   7.539E-01  -1.141E+02
   1.047E-01   1.000E+00   0.000E+00   7.659E-01  -1.142E+02
   1.072E-01   1.000E+00   0.000E+00   7.780E-01  -1.143E+02
   1.096E-01   1.000E+00   0.000E+00   7.904E-01  -1.144E+02
   1.122E-01   1.000E+00   0.000E+00   8.029E-01  -1.145E+02
   1.148E-01   1.000E+00   0.000E+00   8.156E-01  -1.146E+02
   1.175E-01   1.000E+00   0.000E+00   8.286E-01  -1.147E+02
   1.202E-01   1.000E+00   0.000E+00   8.417E-01  -1.148E+02
   1.230E-01   1.000E+00   0.000E+00   8.550E-01  -1.149E+02
   1.259E-01   1.000E+00   0.000E+00   8.685E-01  -1.149E+02
   1.288E-01   1.000E+00   0.000E+00   8.823E-01  -1.150E+02
   1.318E-01   1.000E+00   0.000E+00   8.962E-01  -1.151E+02
   1.349E-01   1.000E+00   0.000E+00   9.104E-01  -1.152E+02
